url,course_name,rating,survey_count,Institution,Subject,Level,Associated_skills,price,duration
https://stepik.org/course/216279/,1C: Professional,0.0,0,,,easy,"['Work skills in standard solutions (1C: EDT, 1C: Accounting, 1C: Ut, etc.).', 'Entering and processing data, reporting.', 'Refining reports for a particular user without programming.', 'Work with available processing in 1C enterprise mode.', 'Work with a universal report.', 'Working with a group change in data.', 'Work with the removal and restoration of data in 1C.', 'Understanding the interface 1s.', 'Navigation in sections, work with reference books, documents and magazines.', 'Using the search and filters.', 'Setting up the interface for the user.', 'The main features and life hacks for productive work in 1C.', 'Conducting documents, forming wiring, closing the period, creating and copying new data.', 'Work with different accounting units in 1C.', 'Formation of reports, analysis of revolutions, residues and other indicators.', 'The use of built -in reports and the creation of their own.', 'The basics of administration.', 'Configuration updating, creating backup copies.', 'Setting up access rights for users.', 'And much more!']",1490.00,
https://stepik.org/course/233342/,"""Python Generation"": pro + OOP",0.0,0,,,,"['Work with the date and time, stream input and withdrawal', 'Work with JSON, CSV, Zip and Pickle Format files', 'Work with memory in Python', 'Work with additional types of collections (Namedtuple, Defaultdict, Counter, Chainmap)', 'Work with exceptions in Python', 'Create and use decorators, generators and iterators', 'Use a recursion in solving problems', 'Process text using regular expressions', 'Work with attributes and methods of classes and copies of classes', 'Create properties for interaction with protected and private attributes', 'Use magic methods to flexible classes of class behavior', 'The basics of hashing', 'Create various protocols', 'Use the mechanism of class inheritance', 'Work with Enum and Dataclasses modules', 'Create class decorators and decorators based on classes', 'Use mixins']",11900.00,
https://stepik.org/course/230224/,Docker from A to Z,0.0,0,,,easy,"['You will not just learn how to launch containers, but you can build real production systems optimized for your tasks.', 'You will learn how to find and repair any problems in Docker - from network to brakes and memory leaks.', 'You will figure out how containers communicate with each other over the network and with the outside world.', 'Learn to launch ready -made containers and create your own images from scratch.', 'You will learn the theory and consolidate this with practice so that you can not only solve any containerization tasks, but also answer any questions at the interview that concern the docker']",2900.00,
https://stepik.org/course/214389/,Advanced Machine Learning tools and practices,0.0,0,,,normal,"['Introduce logistics system into your work, on the example of Clearml 🚀', 'You will figure out how to write less routine code using Pytorch Lighting', 'Practive to turn laptops into a coded code', 'Gather your shareholds based on a powerful Clearml + Pytorch Lighting ligament', 'Compensate for the lack of knowledge in advanced ML tools 🧠']",2500.00,
https://stepik.org/course/230403/,Integrating AI into Software Development | AI DevTools,0.0,0,,,normal,"['🔧 What are Ai devtools and where are they used', '🤖 How to create and use AI assistants to write code', '🔍 How to configure automatic Code Review using AI', '⚙️ How to work with popular LLM deployment tools (llmops/llm deployment): Ollama and VLLM', '🧐 How to interact with top LLM models, for example, QWEN 2.5 Coder and Deepseek Coder V2', '🛡️ How to ensure the safety and confidentiality of data when working with AI']",2990.00,
https://stepik.org/course/211707/,Moodle for everyone: Simple administration,5.0,1 отзыв,,,easy,"['Install and configure Moodle from scratch.', 'Update the platform without data loss.', 'Manage users, roles and access rights.', 'Install and configure plugins and themes.', 'Optimize Moodle performance.', 'Create backups and restore the system.', 'Solve typical problems and errors.']",,
https://stepik.org/course/215388/,Automating UI Testing using Python/Playwright,5.0,1 отзыв,,,easy,"['Develop UI-authors at a high level using modern technologies such as PlayWright.', 'Master the Page Object, Page Component and Page Factory patterns (the last two are rare, but give a strong competitive advantage).', 'Understand the Page Factory in detail, which will be a big plus at the interview.', 'You will master Playwright and its unique capabilities inaccessible to Selenium.', 'Write a video of automotes using PlayWright.', 'Use PlayWright Trace Viewer to analyze tests.', 'Learn to create effective locators using CSS and XPath.', 'Master the popular framework Pytest: learn to write fixtures, put markings, parameterize tests, create your own plugins and much more.', 'Get practical experience in writing auto tests on a deducted application.', 'Work with Allure and Allure Testops: Learn to create clear and detailed reports with file investment, video and PlayWright Trace Viewer.', 'Read the process and learn how to launch auto tests on CI/CD with the publication of the Allure report and history.', 'Learn to launch auto tests in parallel to accelerate the testing process.', 'Learn to correctly configure and manage the project using Pydantic Settings and variables of the environment.', 'Learn to work with the command line.', 'Master the work with the MOKs and optimize the execution of authors.', 'Test SPA applications on React, which is as close as possible to real work.', 'Competently draw up and promote the resume to increase the number of responses and invitations.', 'Effective interviews: get practical advice applicable in real life.', 'Work with GIT, publish and bring to the final a project on GitHub, which will be an excellent addition to the resume.', 'To gain a foothold in positions after applying for work and continue professional growth.']",5000.00,
https://stepik.org/course/214933/,Asynchronous microservices with Apache Kafka in Python,0.0,0,,,normal,"['Apply the most popular libraries that allow you to work with KAFKA on Python: Confluent_kafka, Aiokafka and Faststream.', 'Understand the logic of Kafka’s work, create blocking and asynchronous applications that contain producers and consumers.', 'Use Kafka as part of applications built on the basis of modern web frames, in particular Fastapi.']",2890.00,
https://stepik.org/course/232634/,1C programming for beginners,0.0,0,,,easy,"['Get acquainted with the client application of the 1C: Enterprise, from the installation, to the launch of both the configurator and various types of client applications (thick, thin and so on);', 'Study the basic concepts of the programming language 1C: Enterprise, such as variables, conditions, cycles, etc.;', 'You will deal with all the main objects in the configuration, and also understand how to work with them.', 'Learn the creation of configuration objects, user forms and reports of SKD in 1C: Enterprise;', 'Learn to create queries for the database in 1C: Enterprise, extract the necessary data, filter it and perform various operations with them;', 'During the course, the students will offer practical tasks and projects to apply the acquired knowledge in practice', 'At the end of the course, follow your own configuration in view of the thesis, according to the results of which we will send a detailed']",15000.00,
https://stepik.org/course/229575/,UNCLE ,0.0,0,,,normal,[],5890.00,
https://stepik.org/course/231976/,Preparation for the Unified State Exam in literature 2025 || Te…,0.0,0,,,easy,"['Understand and use the terminology of literature', 'Solve test tasks without errors']",,
https://stepik.org/course/227627/,The best in Python. Part 3,0.0,0,,,normal,"['Continue acquaintance with the most popular programming language in the world!', 'Work with lines, lists and advanced cycles.', 'Write a lot of cool programs and games with random!']",4900.00,
