url,course_name,rating,survey_count,Institution,Subject,Level,Associated_skills,price,duration
https://www.edx.org/learn/architecture-history/massachusetts-institute-of-technology-a-global-history-of-architecture,MITx: A Global History of Architecture,4.9,8,MITx,History,Introductory,Architectural History,149,13 weeks
https://www.edx.org/learn/architecture-history/tsinghua-university-history-of-chinese-architecture-zhong-guo-jian-zhu-shi,TsinghuaX: History of Chinese Architecture | 中国建筑史,,,TsinghuaX,Humanities,Introductory,"Aesthetics, Architectural History, Crystallization, English Language, French Language, Mandarin Chinese, Masonry, Subtitles",,16 weeks
https://www.edx.org/learn/architecture/harvard-university-the-architectural-imagination,HarvardX: The Architectural Imagination,4.7,144,HarvardX,Architecture,Introductory,"Imagination, Innovation, Perspective (Graphical), Value Systems",249,10 weeks
https://www.edx.org/learn/design/delft-university-of-technology-introduction-to-ai-in-architectural-design,DelftX: AI in Architectural Design: Introduction,,,DelftX,Design,Introductory,"Architectural Design, Artificial Intelligence, Computer Vision, Design Thinking, Enthusiasm, Machine Learning, Open Source Technology, Python (Programming Language)",109,8 weeks
https://www.edx.org/learn/computer-architecture/arm-education-computer-architecture-essentials-on-arm,ArmEducationX: Computer Architecture Essentials on Arm,4.3,10,ArmEducationX,Computer Science,Intermediate,,99,6 weeks
https://www.edx.org/learn/architecture/the-university-of-tokyo-four-facets-of-contemporary-japanese-architecture-theory,UTokyoX: Four Facets of Contemporary Japanese Architecture: Theory,,,UTokyoX,Architecture,Intermediate,Advertisement,119,Self-paced
https://www.edx.org/learn/history/the-university-of-tokyo-tokyo-hillside-tokyo-riverside-exploring-the-historical-city,"UTokyoX: Tokyo Hillside, Tokyo Riverside: Exploring the Historical City",4.8,5,UTokyoX,History,Introductory,"Lecturing, Social Development",59,6 weeks
https://www.edx.org/learn/history/universidades-anahuac-maya-culture-in-yucatan,AnahuacX: Maya Culture in Yucatan,,,AnahuacX,History,Introductory,,29,5 weeks
https://www.edx.org/learn/nosql/ibm-nosql-database-basics,IBM: NoSQL Database Basics,4.4,67,IBM,Computer Science,Introductory,"Agile Methodology, Apache Cassandra, Big Data, Cloudant, Data as a Service (DaaS), Database Management, Database Permissions, Database as a Service (DBaaS), Management, MongoDB, NoSQL, Relational Databases, Scalability",99,5 weeks
https://www.edx.org/learn/judaism/university-of-pennsylvania-the-tabernacle-in-word-image-an-italian-jewish-manuscript-revealed,PennX: The Tabernacle in Word & Image: An Italian Jewish Manuscript Revealed,,,PennX,History,Advanced,Hebrew Language,29,5 weeks
https://www.edx.org/certificates/professional-certificate/delftx-water-and-ports-historic-cities-and-landscapes,Addressing challenges for sustainable cities and communities,,,Delft University of Technology,,,,$304.20,3 months
https://www.edx.org/learn/architecture/tokyo-institute-of-technology-japanese-architecture-and-structural-design,TokyoTechX: Japanese Architecture and Structural Design,4.5,28,TokyoTechX,Architecture,Intermediate,"Aesthetics, Environmentalism, Metabolism, Roofing, Seismic Analysis, Seismic Retrofit, Seismology, Shear (Sheet Metal), Structural Engineering",79,5 weeks
https://www.edx.org/learn/architecture/delft-university-of-technology-principles-materials-and-technologies-of-facades,"DelftX: Principles, Materials and Technologies of Façades",,,DelftX,Architecture,Intermediate,"Cultural Influences, Green Building, Innovation, Research",149,6 weeks
https://www.edx.org/learn/japanese-history/tokyo-institute-of-technology-modern-japanese-architecture-part-1-from-meiji-restoration-to-the-pacific-war,TokyoTechX: Modern Japanese Architecture Part 1: From Meiji Restoration to the Pacific War,,,TokyoTechX,Architecture,Intermediate,,59,5 weeks
https://www.edx.org/learn/architecture/tokyo-institute-of-technology-modern-japanese-architecture-from-meiji-restoration-to-today,TokyoTechX: Modern Japanese Architecture: From Meiji Restoration to Today,,,TokyoTechX,Engineering,Intermediate,Influencing Skills,69,6 weeks
https://www.edx.org/learn/computer-science/dec-institute-digital-asset-101-certificate-part-1,DECx: Digital Asset 101 Certificate - Part 1,,,DECx,Computer Science,Intermediate,"Asset Management, Banking, Economics, Finance",165,4 weeks
https://www.edx.org/learn/sustainable-development/massachusetts-institute-of-technology-sustainable-building-design,MITx: Sustainable Building Design,4.6,33,MITx,Architecture,Intermediate,"American Institute Of Architects, Building Design, Computer-Aided Design, Construction, Design Elements And Principles, Energy Consumption, Green Building, Purchasing, Renewable Energy, Sales",199,13 weeks
https://www.edx.org/learn/construction/purdue-university-bim-for-construction,PurdueX: BIM for Construction,,,PurdueX,Engineering,Advanced,"Autodesk, Building Information Modeling, Construction, Construction Management, Cost Estimation, Microsoft 365, Microsoft Project, Navisworks (BIM Software), Project Management Software, Scheduling",750,6 weeks
