url,course_name,rating,survey_count,Institution,Subject,Level,Language,Associated_skills,price,duration
https://www.edx.org/learn/architecture-history/massachusetts-institute-of-technology-a-global-history-of-architecture,MITx: A Global History of Architecture,4.9 stars,8 ratings,MITx,History,Introductory,English,Architectural History,$149 USD,13 weeks
https://www.edx.org/learn/architecture/harvard-university-the-architectural-imagination,HarvardX: The Architectural Imagination,4.7 stars,143 ratings,HarvardX,Architecture,Introductory,English,"Imagination, Innovation, Perspective (Graphical), Value Systems",$249 USD,10 weeks
https://www.edx.org/learn/computer-architecture/arm-education-computer-architecture-essentials-on-arm,ArmEducationX: Computer Architecture Essentials on Arm,4.3 stars,10 ratings,,,,,,$99 USD,6 weeks
https://www.edx.org/learn/history/the-university-of-tokyo-tokyo-hillside-tokyo-riverside-exploring-the-historical-city,"UTokyoX: Tokyo Hillside, Tokyo Riverside: Exploring the Historical City",4.8 stars,5 ratings,UTokyoX,History,Introductory,English,"Lecturing, Social Development",$59 USD,6 weeks
https://www.edx.org/learn/nosql/ibm-nosql-database-basics,IBM: NoSQL Database Basics,4.4 stars,67 ratings,IBM,Computer Science,Introductory,English,"Agile Methodology, Apache Cassandra, Big Data, Cloudant, Data as a Service (DaaS), Database Management, Database Permissions, Database as a Service (DBaaS), Management, MongoDB, NoSQL, Relational Databases, Scalability",$99 USD,5 weeks
https://www.edx.org/learn/architecture/tokyo-institute-of-technology-japanese-architecture-and-structural-design,TokyoTechX: Japanese Architecture and Structural Design,4.5 stars,28 ratings,TokyoTechX,Architecture,Intermediate,English,"Aesthetics, Environmentalism, Metabolism, Roofing, Seismic Analysis, Seismic Retrofit, Seismology, Shear (Sheet Metal), Structural Engineering",$79 USD,5 weeks
https://www.edx.org/learn/architecture-history/massachusetts-institute-of-technology-a-global-history-of-architecture,MITx: A Global History of Architecture,4.9 stars,8 ratings,MITx,History,Introductory,English,Architectural History,$149 USD,13 weeks
https://www.edx.org/learn/architecture/harvard-university-the-architectural-imagination,HarvardX: The Architectural Imagination,4.7 stars,143 ratings,HarvardX,Architecture,Introductory,English,"Imagination, Innovation, Perspective (Graphical), Value Systems",$249 USD,10 weeks
https://www.edx.org/learn/computer-architecture/arm-education-computer-architecture-essentials-on-arm,ArmEducationX: Computer Architecture Essentials on Arm,4.3 stars,10 ratings,,,,,,$99 USD,6 weeks
https://www.edx.org/learn/history/the-university-of-tokyo-tokyo-hillside-tokyo-riverside-exploring-the-historical-city,"UTokyoX: Tokyo Hillside, Tokyo Riverside: Exploring the Historical City",4.8 stars,5 ratings,UTokyoX,History,Introductory,English,"Lecturing, Social Development",$59 USD,6 weeks
