url,course_name,rating,survey_count,Institution,Subject,Level,Associated_skills,price,duration
https://www.coursera.org/professional-certificates/google-data-analytics,Google Data Analytics,4.8,163K reviews,Google,,Beginner,"Skills you'll gain: Data Storytelling, Rmarkdown, Data Visualization, Data Presentation, Data Ethics, Interactive Data Visualization, Interviewing Skills, Data Cleansing, Data Validation, Ggplot2, Tableau Software, Presentations, Spreadsheet Software, Data Analysis, Data Visualization Software, Stakeholder Communications, Dashboard, Sampling (Statistics), Analytics, Stakeholder Management",,3 - 6 Months
https://www.coursera.org/professional-certificates/google-cybersecurity,Google Cybersecurity,4.8,47K reviews,Google,,Beginner,"Skills you'll gain: Threat Modeling, Open Web Application Security Project (OWASP), Intrusion Detection and Prevention, Security Controls, Vulnerability Management, Incident Response, Computer Security Incident Management, Cyber Threat Intelligence, Vulnerability Assessments, Event Monitoring, Network Security, Security Awareness, Threat Detection, Risk Management, Cybersecurity, Hardening, Bash (Scripting Language), Data Ethics, Linux Commands, Debugging",,3 - 6 Months
https://www.coursera.org/professional-certificates/google-project-management,Google Project Management:,4.8,124K reviews,Google,,Beginner,"Skills you'll gain: Quality Management, Project Scoping, Project Closure, Project Management, Project Management Life Cycle, Project Planning, Continuous Improvement Process, Agile Project Management, Process Improvement, Project Controls, Team Leadership, Project Coordination, Backlogs, Team Management, Project Documentation, Agile Methodology, Change Management, Milestones (Project Management), Organizational Structure, Data Storytelling",,3 - 6 Months
https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce,Google Digital Marketing & E-commerce,4.8,37K reviews,Google,,Beginner,"Skills you'll gain: Media Planning, Search Engine Marketing, Email Marketing, Data Storytelling, Social Media Strategy, Search Engine Optimization, Social Media, Social Media Marketing, Content Creation, Order Fulfillment, A/B Testing, Target Audience, Digital Marketing, E-Commerce, Loyalty Programs, Social Media Management, Customer Retention, Persona Development, Performance Measurement, Marketing Automation",,3 - 6 Months
https://www.coursera.org/professional-certificates/google-ux-design,Google UX Design,4.8,88K reviews,Google,,Beginner,"Skills you'll gain: Storyboarding, Wireframing, UI/UX Research, Responsive Web Design, User Experience Design, Design Thinking, User Research, Information Architecture, Figma (Design Software), Usability Testing, User Story, Web Design, Design Reviews, Usability, Presentations, Design Research, Persona (User Experience), Ideation, User Centered Design, Mockups",,3 - 6 Months
https://www.coursera.org/professional-certificates/google-it-support,Google IT Support,4.8,199K reviews,Google,,Beginner,"Skills you'll gain: Computer Networking, Network Troubleshooting, Package and Software Management, Systems Administration, Cloud Infrastructure, IT Infrastructure, TCP/IP, Desktop Support, Network Security, Network Architecture, Computer Hardware, Linux, Encryption, Microsoft Windows, Lightweight Directory Access Protocols, Cybersecurity, Security Awareness, Technical Support, Software Installation, Help Desk Support",,3 - 6 Months
https://www.coursera.org/specializations/machine-learning-introduction,Machine Learning,4.9,32K reviews,Multiple educators,,Beginner,"Skills you'll gain: Unsupervised Learning, Supervised Learning, Artificial Intelligence and Machine Learning (AI/ML), Classification And Regression Tree (CART), Machine Learning Algorithms, Applied Machine Learning, Machine Learning, Jupyter, Data Ethics, Decision Tree Learning, Tensorflow, Scikit Learn (Machine Learning Library), NumPy, Predictive Modeling, Deep Learning, Artificial Intelligence, Reinforcement Learning, Random Forest Algorithm, Feature Engineering, Python Programming",,1 - 3 Months
https://www.coursera.org/learn/google-ai-essentials,Google AI Essentials,4.7,9.2K reviews,Google,,Beginner,"Skills you'll gain: Generative AI, Artificial Intelligence and Machine Learning (AI/ML), Productivity Software, Artificial Intelligence, Data Ethics, Security Awareness, Business Workflow Analysis, Innovation, Automation, Workflow Management, Information Privacy, Human Computer Interaction, Content Creation, Natural Language Processing, Complex Problem Solving",,1 - 3 Months
https://www.coursera.org/specializations/deep-learning,Deep Learning,4.8,145K reviews,DeepLearning.AI,,Intermediate,"Skills you'll gain: Computer Vision, Deep Learning, Image Analysis, Natural Language Processing, Artificial Neural Networks, Artificial Intelligence and Machine Learning (AI/ML), Tensorflow, Supervised Learning, Keras (Neural Network Library), Artificial Intelligence, Applied Machine Learning, PyTorch (Machine Learning Library), Machine Learning, Debugging, Performance Tuning, Machine Learning Methods, Python Programming, Data-Driven Decision-Making, Text Mining, Network Architecture",,3 - 6 Months
https://www.coursera.org/professional-certificates/ibm-data-science,IBM Data Science,4.6,139K reviews,IBM,,Beginner,"Skills you'll gain: Dashboard, Data Visualization Software, Data Wrangling, Data Visualization, SQL, Statistical Methods, Plotly, Interactive Data Visualization, Jupyter, Exploratory Data Analysis, Data Mining, Data Cleansing, Matplotlib, Data Analysis, Generative AI, Pandas (Python Package), Data Manipulation, Regression Analysis, Seaborn, Professional Networking",,3 - 6 Months
https://www.coursera.org/professional-certificates/ibm-data-analyst,IBM Data Analyst,4.6,88K reviews,IBM,,Beginner,"Skills you'll gain: Data Storytelling, Dashboard, Data Visualization Software, Plotly, Data Presentation, Data Wrangling, Data Visualization, SQL, Generative AI, Interactive Data Visualization, Exploratory Data Analysis, Data Cleansing, Big Data, Jupyter, Matplotlib, Data Analysis, Statistical Analysis, Pandas (Python Package), Excel Formulas, Professional Networking",,3 - 6 Months
